Item_FatContent,Item_Weight,Total_Sales,Outlet_Type,Rating,Outlet_Size,Outlet_LocationType,Outlet_Identifier,Item_Type,Item_Identifier,Outlet_EstablishmentYear,Item_Visibility
Regular,15.1,145.4786,SupermarketType1,5,Medium,Tier1,OUT049,FruitsandVegetables,FDX32,2012,0.1000135
LowFat,11.8,115.3492,SupermarketType2,5,Medium,Tier3,OUT018,HealthandHygiene,NCB42,2022,0.008596051
Regular,13.85,165.021,SupermarketType1,5,Small,Tier1,OUT046,FrozenFoods,FDR28,2010,0.025896485
Regular,12.15,126.5046,SupermarketType1,5,High,Tier3,OUT013,Canned,FDL50,2000,0.042277867
LowFat,19.6,55.1614,SupermarketType1,5,Small,Tier2,OUT045,SoftDrinks,DRI25,2015,0.033970195
lowfat,8.89,102.4016,SupermarketType1,5,Small,Tier2,OUT017,FrozenFoods,FDS52,2020,0.005505481
LowFat,11.8,81.4618,GroceryStore,5,Small,Tier3,OUT010,HealthandHygiene,NCU05,2011,0.098312421
LowFat,19.7,96.0726,SupermarketType1,5,Small,Tier2,OUT045,Household,NCD30,2015,0.026903714
LowFat,20.75,124.173,SupermarketType1,5,High,Tier3,OUT013,FruitsandVegetables,FDW20,2000,0.024129332
LowFat,,181.9292,SupermarketType3,5,Medium,Tier3,OUT027,Canned,FDX25,1998,0.101561568
LF,,109.8912,SupermarketType3,5,Medium,Tier3,OUT027,SnackFoods,FDX21,1998,0.084554569
LowFat,18.85,192.1846,SupermarketType1,5,Small,Tier2,OUT035,HealthandHygiene,NCU41,2017,0.052044976
LowFat,17.1,112.3886,SupermarketType2,5,Medium,Tier3,OUT018,FruitsandVegetables,FDL20,2022,0.128937661
LowFat,16.35,195.211,SupermarketType1,5,High,Tier3,OUT013,Household,NCR54,2000,0.090486828
LowFat,,173.1738,SupermarketType3,5,Medium,Tier3,OUT027,Meat,FDH19,1998,0.03292824
Regular,20.25,222.1772,SupermarketType1,5,Small,Tier2,OUT035,FruitsandVegetables,FDB57,2017,0.018801549
LowFat,17.85,93.7436,SupermarketType2,5,Medium,Tier3,OUT018,Breads,FDO23,2022,0.147023834
LowFat,19.2,197.611,SupermarketType1,5,Medium,Tier1,OUT049,Household,NCB07,2012,0.077628053
LowFat,,98.77,SupermarketType3,5,Medium,Tier3,OUT027,FruitsandVegetables,FDJ56,1998,0.182514881
LowFat,12.1,178.566,SupermarketType2,5,Medium,Tier3,OUT018,HardDrinks,DRN47,2022,0.016895293
Regular,,60.2194,SupermarketType3,5,Medium,Tier3,OUT027,FruitsandVegetables,FDZ07,1998,0
LowFat,,50.9666,SupermarketType3,5,Medium,Tier3,OUT027,Others,NCK31,1998,0.026916794
LowFat,6.85,261.6594,SupermarketType2,5,Medium,Tier3,OUT018,FrozenFoods,FDJ41,2022,0.022976497
LowFat,17.25,173.1764,SupermarketType2,5,Medium,Tier3,OUT018,Dairy,DRI51,2022,0.042413704
